rules	support	confidence	lift
{} => {liquor}	0.01	0.01	1
{} => {finished products}	0.0103333333333333	0.0103333333333333	1
{} => {flower (seeds)}	0.0106666666666667	0.0106666666666667	1
{} => {frozen dessert}	0.0103333333333333	0.0103333333333333	1
{} => {salt}	0.01	0.01	1
{} => {condensed milk}	0.012	0.012	1
{} => {dish cleaner}	0.01	0.01	1
{} => {chocolate marshmallow}	0.011	0.011	1
{} => {packaged fruit/vegetables}	0.0106666666666667	0.0106666666666667	1
{} => {white wine}	0.0203333333333333	0.0203333333333333	1
{} => {dishes}	0.015	0.015	1
{} => {seasonal products}	0.0146666666666667	0.0146666666666667	1
{} => {cling film/bags}	0.013	0.013	1
{} => {red/blush wine}	0.0196666666666667	0.0196666666666667	1
{} => {pickled vegetables}	0.0156666666666667	0.0156666666666667	1
{} => {chewing gum}	0.0193333333333333	0.0193333333333333	1
{} => {detergent}	0.015	0.015	1
{} => {pasta}	0.0136666666666667	0.0136666666666667	1
{} => {herbs}	0.0146666666666667	0.0146666666666667	1
{} => {frozen fish}	0.013	0.013	1
{} => {cake bar}	0.0143333333333333	0.0143333333333333	1
{} => {semi-finished bread}	0.0176666666666667	0.0176666666666667	1
{} => {soft cheese}	0.0153333333333333	0.0153333333333333	1
{} => {beverages}	0.0236666666666667	0.0236666666666667	1
{} => {flour}	0.016	0.016	1
{} => {ice cream}	0.023	0.023	1
{} => {canned fish}	0.016	0.016	1
{} => {baking powder}	0.016	0.016	1
{} => {processed cheese}	0.0173333333333333	0.0173333333333333	1
{} => {misc. beverages}	0.0216666666666667	0.0216666666666667	1
{} => {specialty bar}	0.0283333333333333	0.0283333333333333	1
{} => {cat food}	0.0206666666666667	0.0206666666666667	1
{} => {specialty chocolate}	0.031	0.031	1
{} => {butter milk}	0.0266666666666667	0.0266666666666667	1
{} => {hard cheese}	0.0246666666666667	0.0246666666666667	1
{} => {meat}	0.039	0.039	1
{} => {candy}	0.0293333333333333	0.0293333333333333	1
{} => {ham}	0.0293333333333333	0.0293333333333333	1
{} => {frozen meals}	0.0323333333333333	0.0323333333333333	1
{} => {oil}	0.0273333333333333	0.0273333333333333	1
{} => {sliced cheese}	0.0266666666666667	0.0266666666666667	1
{} => {UHT-milk}	0.033	0.033	1
{} => {onions}	0.027	0.027	1
{} => {grapes}	0.0346666666666667	0.0346666666666667	1
{} => {hygiene articles}	0.032	0.032	1
{} => {dessert}	0.0313333333333333	0.0313333333333333	1
{} => {sugar}	0.0323333333333333	0.0323333333333333	1
{} => {canned beer}	0.0636666666666667	0.0636666666666667	1
{} => {salty snack}	0.0396666666666667	0.0396666666666667	1
{} => {hamburger meat}	0.0336666666666667	0.0336666666666667	1
{} => {cream cheese }	0.0373333333333333	0.0373333333333333	1
{} => {long life bakery product}	0.0366666666666667	0.0366666666666667	1
{} => {white bread}	0.0356666666666667	0.0356666666666667	1
{} => {waffles}	0.039	0.039	1
{} => {berries}	0.0366666666666667	0.0366666666666667	1
{} => {chicken}	0.0463333333333333	0.0463333333333333	1
{} => {coffee}	0.0513333333333333	0.0513333333333333	1
{} => {margarine}	0.0493333333333333	0.0493333333333333	1
{} => {frozen vegetables}	0.0463333333333333	0.0463333333333333	1
{} => {bottled beer}	0.075	0.075	1
{} => {curd}	0.0536666666666667	0.0536666666666667	1
{} => {chocolate}	0.0556666666666667	0.0556666666666667	1
{} => {pork}	0.0536666666666667	0.0536666666666667	1
{} => {beef}	0.056	0.056	1
{} => {butter}	0.053	0.053	1
{} => {domestic eggs}	0.0563333333333333	0.0563333333333333	1
{} => {brown bread}	0.0633333333333333	0.0633333333333333	1
{} => {napkins}	0.0576666666666667	0.0576666666666667	1
{} => {frankfurter}	0.0753333333333333	0.0753333333333333	1
{} => {newspapers}	0.077	0.077	1
{} => {whipped/sour cream}	0.0626666666666667	0.0626666666666667	1
{} => {fruit/vegetable juice}	0.0666666666666667	0.0666666666666667	1
{} => {pip fruit}	0.0686666666666667	0.0686666666666667	1
{} => {pastry}	0.087	0.087	1
{} => {citrus fruit}	0.0773333333333333	0.0773333333333333	1
{} => {shopping bags}	0.099	0.099	1
{} => {bottled water}	0.100666666666667	0.100666666666667	1
{} => {sausage}	0.0986666666666667	0.0986666666666667	1
{} => {tropical fruit}	0.101333333333333	0.101333333333333	1
{} => {root vegetables}	0.100666666666667	0.100666666666667	1
{} => {soda}	0.153	0.153	1
{} => {yogurt}	0.139666666666667	0.139666666666667	1
{} => {rolls/buns}	0.176666666666667	0.176666666666667	1
{} => {other vegetables}	0.180333333333333	0.180333333333333	1
{} => {whole milk}	0.249333333333333	0.249333333333333	1
{butter milk} => {whole milk}	0.01	0.375	1.50401069518717
{whole milk} => {butter milk}	0.01	0.0401069518716578	1.50401069518717
{hard cheese} => {whole milk}	0.01	0.405405405405405	1.62595750831045
{whole milk} => {hard cheese}	0.01	0.0401069518716578	1.62595750831045
{meat} => {frankfurter}	0.016	0.41025641025641	5.44588155207624
{frankfurter} => {meat}	0.016	0.212389380530973	5.44588155207624
{ham} => {whole milk}	0.01	0.340909090909091	1.36728245017015
{whole milk} => {ham}	0.01	0.0401069518716578	1.36728245017015
{frozen meals} => {whole milk}	0.012	0.371134020618557	1.48850543028833
{whole milk} => {frozen meals}	0.012	0.0481283422459893	1.48850543028833
{oil} => {other vegetables}	0.0106666666666667	0.390243902439024	2.16401424642712
{other vegetables} => {oil}	0.0106666666666667	0.0591497227356747	2.16401424642712
